City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
104,Burriana,ES,2020-08-30 16:24:45,39.89,-0.09,77.0,42,0,1.99,clear sky
105,New Norfolk,AU,2020-08-30 16:32:18,-42.78,147.06,46.0,71,100,3.0,light rain
106,Cape Town,ZA,2020-08-30 16:32:18,-33.93,18.42,55.0,50,20,9.17,few clouds
107,Nanortalik,GL,2020-08-30 16:32:18,60.14,-45.24,48.15,75,100,8.9,overcast clouds
108,Nemuro,JP,2020-08-30 16:23:58,43.32,145.57,55.67,80,96,15.79,overcast clouds
109,Bluff,NZ,2020-08-30 16:32:19,-46.6,168.33,51.55,68,68,22.01,broken clouds
110,Podosinovets,RU,2020-08-30 16:24:45,60.28,47.07,54.52,97,100,5.06,moderate rain
111,Manado,ID,2020-08-30 16:24:46,1.49,124.85,75.2,94,20,2.24,few clouds
112,Abu Zabad,SD,2020-08-30 16:24:46,12.35,29.25,83.53,63,52,7.2,light rain
113,Qiyang,CN,2020-08-30 16:24:46,26.59,111.85,78.44,70,5,2.8,clear sky
114,Kinwat,IN,2020-08-30 16:24:46,19.63,78.2,77.9,83,0,4.32,clear sky
115,Barrow,US,2020-08-30 16:30:02,71.29,-156.79,39.2,86,90,9.17,overcast clouds
116,Thompson,CA,2020-08-30 16:31:02,55.74,-97.86,53.6,93,90,8.05,light rain
117,Hermanus,ZA,2020-08-30 16:32:20,-34.42,19.23,50.0,74,21,1.01,few clouds
118,Revda,RU,2020-08-30 16:24:47,56.8,59.93,69.8,68,40,6.71,scattered clouds
119,Sao Jose Da Coroa Grande,BR,2020-08-30 16:32:20,-8.9,-35.15,80.37,67,10,10.29,clear sky
120,Clyde River,CA,2020-08-30 16:32:20,70.47,-68.59,50.0,81,75,10.29,broken clouds
121,Macau,MO,2020-08-30 16:21:25,22.2,113.55,86.0,79,20,9.17,few clouds
122,Grindavik,IS,2020-08-30 16:24:47,63.84,-22.43,53.6,100,90,28.86,drizzle rain
123,Tuy Hoa,VN,2020-08-30 16:24:48,13.08,109.3,79.81,82,19,4.09,few clouds
124,Atambua,ID,2020-08-30 16:24:48,-9.11,124.89,69.66,86,28,6.2,scattered clouds
125,Bilibino,RU,2020-08-30 16:24:48,68.05,166.44,40.33,83,100,4.65,overcast clouds
126,Winnipeg,CA,2020-08-30 16:21:04,49.88,-97.15,71.01,56,90,17.22,overcast clouds
127,Pisco,PE,2020-08-30 16:32:21,-13.7,-76.22,63.0,82,90,6.93,overcast clouds
128,Hithadhoo,MV,2020-08-30 16:32:21,-0.6,73.08,81.91,76,12,13.62,few clouds
129,Taybad,IR,2020-08-30 16:24:48,34.74,60.78,74.91,20,0,16.17,clear sky
130,Benalla,AU,2020-08-30 16:24:49,-36.55,145.98,48.2,93,40,10.29,scattered clouds
131,Faanui,PF,2020-08-30 16:32:22,-16.48,-151.75,76.51,76,17,23.4,few clouds
132,Olafsvik,IS,2020-08-30 16:21:58,64.89,-23.71,52.95,93,100,24.45,moderate rain
133,Pampa,US,2020-08-30 16:24:49,35.54,-100.96,78.8,61,1,11.41,clear sky
134,Hofn,IS,2020-08-30 16:32:22,64.25,-15.21,53.6,93,90,9.17,mist
135,Zhigansk,RU,2020-08-30 16:24:49,66.77,123.37,48.33,96,99,11.21,moderate rain
136,Vammala,FI,2020-08-30 16:24:49,61.33,22.9,57.2,82,20,5.82,few clouds
137,Cedar City,US,2020-08-30 16:32:22,37.68,-113.06,78.8,14,1,11.41,clear sky
138,Germersheim,DE,2020-08-30 16:24:50,49.22,8.36,64.0,77,100,3.0,light rain
139,Nanga Eboko,CM,2020-08-30 16:24:50,4.68,12.37,74.91,94,99,1.45,light rain
140,Airai,TL,2020-08-30 16:32:23,-8.93,125.41,56.66,100,23,4.14,few clouds
141,Estelle,US,2020-08-30 16:24:51,29.85,-90.11,82.99,94,75,10.29,broken clouds
142,Krasnoselkup,RU,2020-08-30 16:24:51,65.7,82.47,50.9,85,100,9.98,overcast clouds
143,Kihei,US,2020-08-30 16:24:51,20.79,-156.47,77.0,73,40,14.99,scattered clouds
144,San Francisco,US,2020-08-30 16:24:22,37.77,-122.42,60.01,90,68,1.99,broken clouds
145,Port Alfred,ZA,2020-08-30 16:32:23,-33.59,26.89,52.52,67,29,12.46,scattered clouds
146,Maceio,BR,2020-08-30 16:23:47,-9.67,-35.74,82.4,58,75,6.93,broken clouds
147,Arraial Do Cabo,BR,2020-08-30 16:32:24,-22.97,-42.03,89.6,51,0,13.87,clear sky
148,Qaanaaq,GL,2020-08-30 16:32:24,77.48,-69.36,34.02,76,0,5.28,clear sky
149,Pangnirtung,CA,2020-08-30 16:32:25,66.15,-65.71,46.4,81,20,10.29,few clouds
150,Lavrentiya,RU,2020-08-30 16:32:25,65.58,-171.0,44.01,79,71,16.46,broken clouds
151,Solnechnyy,RU,2020-08-30 16:24:52,50.72,136.63,49.62,80,0,2.64,clear sky
152,Victoria,HK,2020-08-30 16:24:52,22.29,114.16,86.0,83,93,7.0,light rain
153,Fairbanks,US,2020-08-30 16:32:25,64.84,-147.72,52.0,87,75,2.98,broken clouds
154,Raton,US,2020-08-30 16:24:52,36.9,-104.44,70.0,68,1,5.82,clear sky
155,Campo Verde,BR,2020-08-30 16:24:53,-20.42,-54.07,93.2,18,0,13.87,clear sky
156,Nago,JP,2020-08-30 16:24:53,26.59,127.98,82.4,88,20,9.17,light intensity drizzle
157,Kathmandu,NP,2020-08-30 16:24:53,27.72,85.32,73.4,88,40,4.7,scattered clouds
158,Santa Cruz De La Palma,ES,2020-08-30 16:24:53,28.68,-17.76,77.0,61,75,17.22,broken clouds
159,Vestmannaeyjar,IS,2020-08-30 16:32:26,63.44,-20.27,51.8,100,90,16.11,drizzle rain
160,Haines Junction,CA,2020-08-30 16:24:54,60.75,-137.51,46.04,77,100,3.33,light rain
161,Halifax,CA,2020-08-30 16:21:30,44.65,-63.57,73.99,96,90,1.99,overcast clouds
162,Jalu,LY,2020-08-30 16:32:26,29.03,21.55,94.48,16,0,9.53,clear sky
163,Plettenberg Bay,ZA,2020-08-30 16:24:54,-34.05,23.37,51.39,66,51,9.53,broken clouds
164,Castro,BR,2020-08-30 16:32:27,-24.79,-50.01,80.31,40,0,6.6,clear sky
165,Paamiut,GL,2020-08-30 16:24:54,61.99,-49.67,47.3,73,100,1.9,overcast clouds
166,Mangrol,IN,2020-08-30 16:24:54,21.12,70.12,78.12,91,100,19.73,moderate rain
167,Shingu,JP,2020-08-30 16:24:55,33.73,135.98,76.3,83,0,3.18,clear sky
168,Cabo San Lucas,MX,2020-08-30 16:32:27,22.89,-109.91,84.2,94,40,4.7,scattered clouds
169,Tulun,RU,2020-08-30 16:24:55,54.56,100.58,51.6,87,52,2.8,broken clouds
170,Zihuatanejo,MX,2020-08-30 16:24:55,17.63,-101.55,78.8,83,75,11.41,broken clouds
171,Ohara,JP,2020-08-30 16:24:55,35.25,140.38,82.4,100,75,3.36,broken clouds
172,Ilulissat,GL,2020-08-30 16:31:16,69.22,-51.1,46.4,61,20,5.82,few clouds
173,Adrar,MR,2020-08-30 16:24:56,20.5,-10.07,101.79,8,30,12.57,scattered clouds
174,Cururupu,BR,2020-08-30 16:24:08,-1.83,-44.87,87.98,52,75,10.76,broken clouds
175,Tahe,CN,2020-08-30 16:24:56,52.33,124.73,51.91,96,100,2.59,light rain
176,Conde,BR,2020-08-30 16:32:28,-7.26,-34.91,84.2,58,20,14.99,few clouds
177,Port Lincoln,AU,2020-08-30 16:32:28,-34.73,135.87,51.39,65,31,6.8,scattered clouds
178,Preobrazheniye,RU,2020-08-30 16:32:28,42.9,133.91,57.61,81,27,14.18,scattered clouds
179,Khatanga,RU,2020-08-30 16:32:29,71.97,102.5,46.81,81,100,8.03,overcast clouds
180,Noumea,NC,2020-08-30 16:22:16,-22.28,166.46,69.01,82,20,9.73,few clouds
181,Smithers,CA,2020-08-30 16:24:57,54.78,-127.17,44.6,87,90,5.82,overcast clouds
182,Souillac,MU,2020-08-30 16:32:29,-20.52,57.52,71.6,78,40,16.11,shower rain
183,Edd,ER,2020-08-30 16:32:29,13.93,41.69,90.63,66,44,9.57,scattered clouds
184,Batagay,RU,2020-08-30 16:32:29,67.63,134.63,45.46,58,68,3.0,broken clouds
185,Magistralnyy,RU,2020-08-30 16:24:57,56.17,107.45,54.72,87,100,3.71,overcast clouds
186,Angoche,MZ,2020-08-30 16:23:24,-16.23,39.91,76.51,69,0,17.2,clear sky
187,Kaitangata,NZ,2020-08-30 16:32:30,-46.28,169.85,45.16,74,100,7.49,overcast clouds
188,Umuarama,BR,2020-08-30 16:24:57,-23.77,-53.33,83.39,49,0,9.46,clear sky
189,Severo-Kurilsk,RU,2020-08-30 16:32:30,50.68,156.12,49.33,88,28,15.19,scattered clouds
190,Manjacaze,MZ,2020-08-30 16:24:58,-24.71,33.88,66.25,84,81,12.46,broken clouds
191,Asau,RO,2020-08-30 16:32:30,46.43,26.4,77.0,61,0,4.59,light rain
192,Khorixas,NA,2020-08-30 16:24:58,-20.37,14.97,75.31,16,0,18.95,clear sky
193,Honiara,SB,2020-08-30 16:23:28,-9.43,159.95,75.2,94,20,2.24,few clouds
194,Villa Carlos Paz,AR,2020-08-30 16:24:58,-31.42,-64.5,57.0,40,25,5.82,scattered clouds
195,Hokitika,NZ,2020-08-30 16:24:59,-42.72,170.97,52.36,81,100,0.87,overcast clouds
196,Keetmanshoop,NA,2020-08-30 16:24:59,-26.58,18.13,57.61,26,13,6.11,few clouds
197,Lazaro Cardenas,MX,2020-08-30 16:24:59,17.96,-102.2,81.34,80,100,3.62,light rain
198,Warmbad,NA,2020-08-30 16:32:31,-28.45,18.73,48.18,41,30,6.11,scattered clouds
199,Dhidhdhoo,MV,2020-08-30 16:24:59,6.88,73.1,83.35,75,77,9.91,light rain
200,Muncar,ID,2020-08-30 16:24:59,-8.43,114.33,72.41,84,60,2.77,broken clouds
201,Naruto,JP,2020-08-30 16:25:00,34.18,134.62,82.4,83,40,2.24,scattered clouds
202,Coihaique,CL,2020-08-30 16:32:32,-45.58,-72.07,50.0,79,20,6.93,few clouds
203,Acajutla,SV,2020-08-30 16:25:00,13.59,-89.83,80.01,100,1,2.44,clear sky
204,Tornio,FI,2020-08-30 16:25:00,65.85,24.15,59.0,67,96,3.36,overcast clouds
205,Pacific Grove,US,2020-08-30 16:25:00,36.62,-121.92,60.8,77,90,1.72,overcast clouds
206,Lagoa,PT,2020-08-30 16:32:33,39.05,-27.98,75.09,93,31,12.1,scattered clouds
207,Srednekolymsk,RU,2020-08-30 16:32:33,67.45,153.68,37.63,86,15,5.77,few clouds
208,Nouadhibou,MR,2020-08-30 16:31:03,20.93,-17.03,80.6,65,0,20.8,sand
209,Tual,ID,2020-08-30 16:25:01,-5.67,132.75,77.81,81,96,16.04,light rain
210,Bathsheba,BB,2020-08-30 16:25:01,13.22,-59.52,87.8,74,40,16.11,scattered clouds
211,Taltal,CL,2020-08-30 16:25:01,-25.4,-70.48,60.49,60,22,5.44,few clouds
212,Port Blair,IN,2020-08-30 16:32:34,11.67,92.75,82.49,80,79,8.28,broken clouds
213,Paducah,US,2020-08-30 16:24:20,37.08,-88.6,73.4,88,90,3.89,moderate rain
214,Vardo,NO,2020-08-30 16:32:34,70.37,31.11,48.2,93,75,21.92,light intensity shower rain
215,Kurilsk,RU,2020-08-30 16:25:02,45.23,147.88,49.6,84,99,1.25,overcast clouds
216,Maua,BR,2020-08-30 16:23:59,-23.67,-46.46,87.01,28,0,11.41,clear sky
217,Kumluca,TR,2020-08-30 16:25:02,36.37,30.29,90.97,32,0,4.63,clear sky
218,Saldanha,ZA,2020-08-30 16:32:35,-33.01,17.94,53.6,54,0,6.93,clear sky
219,Port Macquarie,AU,2020-08-30 16:25:02,-31.43,152.92,50.0,93,75,5.3,broken clouds
220,Port-Cartier,CA,2020-08-30 16:23:59,50.03,-66.87,50.0,93,90,10.29,light rain
221,Ponta Do Sol,PT,2020-08-30 16:32:35,32.67,-17.1,79.0,39,4,4.07,clear sky
222,Dafeng,CN,2020-08-30 16:25:03,23.45,108.59,80.78,74,6,1.12,light rain
223,Kavieng,PG,2020-08-30 16:25:03,-2.57,150.8,82.09,76,85,4.9,light rain
224,Faya,SA,2020-08-30 16:32:36,18.39,42.45,82.4,18,40,14.99,scattered clouds
225,Constitucion,CL,2020-08-30 16:32:36,-35.33,-72.42,54.86,52,0,13.42,clear sky
226,Puerto Baquerizo Moreno,EC,2020-08-30 16:25:04,-0.9,-89.6,71.6,73,90,16.11,overcast clouds
227,Yar-Sale,RU,2020-08-30 16:32:36,66.83,70.83,39.4,88,38,8.23,scattered clouds
228,San Cristobal,VE,2020-08-30 16:32:37,7.77,-72.22,84.2,62,40,11.41,scattered clouds
229,Padang,ID,2020-08-30 16:25:04,-0.95,100.35,78.67,81,100,4.54,moderate rain
230,Doljo,PH,2020-08-30 16:25:04,9.59,123.73,84.18,72,100,8.5,overcast clouds
231,Ahipara,NZ,2020-08-30 16:32:37,-35.17,173.17,54.28,86,40,6.13,scattered clouds
232,Yulara,AU,2020-08-30 16:25:04,-25.24,130.99,62.6,36,0,6.93,clear sky
233,Brokopondo,SR,2020-08-30 16:25:05,4.75,-55.17,86.04,64,84,6.89,broken clouds
234,Nome,US,2020-08-30 16:32:38,64.5,-165.41,51.8,76,75,9.17,broken clouds
